This exotic market is also a place where locals bring their own pet birds for airings.	this exotic market is also a place where locals bring their own pet birds for airings.	1.0
This massive mall caters to all tastes and budgets, with over 350 stores, 50 restaurants, and Asia's first Snoopy World. Because it's popular with locals and tourists, weekends get very crowded.	this massive mall caters to all tastes and budgets, with over 350 stores, 50 restaurants, and asia's first snoopy world. because it's popular with locals and tourists, weekends get very crowded.	1.0
This historic street market on the city's serene south coast is as popular with locals as it is with tourists. Go here for souvenirs like lacquerware, embroidered tablecloths, prints and paintings.	this historic street market on the city's serene south coast is as popular with locals as it is with tourists. go here for souvenirs like lacquerware, embroidered tablecloths, prints and paintings.	1.0
Discreetly tucked between Happy Valley and Causeway Bay, this designer mall is spread over six buildings. It offers instantly recognizable luxury brands, designer children's clothes, and upscale cafes.	discreetly tucked between happy valley and causeway bay, this designer mall is spread over six buildings. it offers instantly recognizable luxury brands, designer children's clothes, and upscale cafes.	1.0
Since 1904, trams have been running from East to West of Hong Kong Island. Over the last century, Hong Kong Tramways witnessed the development of Hong Kong, and the tram remains an efficient and the most economical mode of public transport in Hong Kong. Today, Hong Kong Tramways owns and operates a fleet of 163 tramcars, including 2 antique tramcars, carrying a daily average of 230,000 passengers. It is the world's largest fleet of double-deck tramcars still in service.	since 1904, trams have been running from east to west of hong kong island. over the last century, hong kong tramways witnessed the development of hong kong, and the tram remains an efficient and the most economical mode of public transport in hong kong. today, hong kong tramways owns and operates a fleet of 163 tramcars, including 2 antique tramcars, carrying a daily average of 230,000 passengers. it is the world's largest fleet of double-deck tramcars still in service.	1.0
T Galleria by DFS is the Traveler’s Galleria — a tribute to DFS Group’s thorough understanding of global travelers’ needs and its unique ability to offer them the finest luxury brands, impeccable service, and seamless shopping experiences.	t galleria by dfs is the traveler’s galleria — a tribute to dfs group’s thorough understanding of global travelers’ needs and its unique ability to offer them the finest luxury brands, impeccable service, and seamless shopping experiences.	1.0
This Listing Is Temporarily Closed For Renovations	this listing is temporarily closed for renovations	1.0
None	none	1.0
The Heritage Museum houses exhibits covering art, history and culture. Guided tours and activities for children are offered.	the heritage museum houses exhibits covering art, history and culture. guided tours and activities for children are offered.	1.0
Hong Kong’s most famous Taoist temple exemplifies the architecture of a traditional Chinese temple, and is a popular place of worship for those with health or business problems or for those seeking to have their fortunes told.	hong kong’s most famous taoist temple exemplifies the architecture of a traditional chinese temple, and is a popular place of worship for those with health or business problems or for those seeking to have their fortunes told.	1.0
If flowers are your passion, than the Hong Kong Flower Show is a must-see. With 200 participating horticulture organisations and just shy of 600,000 visitors, the annual Hong Kong Flower Show held in Victoria Park serves as one of the premier festivals in the world for exotic flower collections. In addition to the gorgeous plants themselves, the Flower Show also hosts a large schedule of flower tutorials and demos, musical acts, and even live dance performances.	if flowers are your passion, than the hong kong flower show is a must-see. with 200 participating horticulture organisations and just shy of 600,000 visitors, the annual hong kong flower show held in victoria park serves as one of the premier festivals in the world for exotic flower collections. in addition to the gorgeous plants themselves, the flower show also hosts a large schedule of flower tutorials and demos, musical acts, and even live dance performances.	1.0
This major tourist hub is complete with many shops and landmark, such as the Tsim Sha Tsui Clock Tower. Some call this area Hong Kong's equivalent to the Hollywood Walk of Fame.	this major tourist hub is complete with many shops and landmark, such as the tsim sha tsui clock tower. some call this area hong kong's equivalent to the hollywood walk of fame.	1.0
Hong Kong West Kowloon Station is the cross-boundary gateway for High Speed Rail in Hong Kong. The giant curtain wall of the station comprises over 4,000 irregular glass panels, and the spectacular structure is supported by 9 sets of massive columns of different heights. The curved ceiling of the station was built with over 8,000 tons of steel, which is almost the weight of the Eiffel Tower!	hong kong west kowloon station is the cross-boundary gateway for high speed rail in hong kong. the giant curtain wall of the station comprises over 4,000 irregular glass panels, and the spectacular structure is supported by 9 sets of massive columns of different heights. the curved ceiling of the station was built with over 8,000 tons of steel, which is almost the weight of the eiffel tower!	1.0
Enjoy an exclusive discount with the Peak Tram Fast Track combo, including the Peak Tram, Sky Terrace 428 and Madame Tussauds Hong Kong (optional). By purchasing this trip you'll also get to jump straight to the front of the ticketing line and avoid most of the queue with your escort. Believe us, you'll appreciate this as the queues get extremely long!	enjoy an exclusive discount with the peak tram fast track combo, including the peak tram, sky terrace 428 and madame tussauds hong kong (optional). by purchasing this trip you'll also get to jump straight to the front of the ticketing line and avoid most of the queue with your escort. believe us, you'll appreciate this as the queues get extremely long!	1.0
Contemproary art gallery. Asian artists from Hong Kong, Korea, Macao, Vietnam. Russian contemporary art. Mixed media art. Events, exhibitions. Participant of the international art fairs such as Asia Contemporary Art Show, Affordable Art fair, Art Stage Singapore, Art Central Hong Kong, KIAF, Art Southhampton. Member of Hong Kong Art Gallery Association.	contemproary art gallery. asian artists from hong kong, korea, macao, vietnam. russian contemporary art. mixed media art. events, exhibitions. participant of the international art fairs such as asia contemporary art show, affordable art fair, art stage singapore, art central hong kong, kiaf, art southhampton. member of hong kong art gallery association.	1.0
Aberdeen is known for its floating islands where local fishermen can be seen plying their craft from their junks. It is also home to the floating restaurant, Jumbo. The best way to experience Aberdeen Harbour is to take a cruise tour by sampan.	aberdeen is known for its floating islands where local fishermen can be seen plying their craft from their junks. it is also home to the floating restaurant, jumbo. the best way to experience aberdeen harbour is to take a cruise tour by sampan.	1.0
Located at the end of the Tung Chung MTR line, Citygate is the largest outlet mall in Hong Kong. Find discounts up to 80% on designer brands including Calvin Klein, Guess, and Ralph Lauren.	located at the end of the tung chung mtr line, citygate is the largest outlet mall in hong kong. find discounts up to 80% on designer brands including calvin klein, guess, and ralph lauren.	1.0
Easily accessed via the MTR, this mid-priced mall is packed with more than 200 popular international brands and favorite local clothing stores including Giordano, Moiselle, and Peace and Staccato.	easily accessed via the mtr, this mid-priced mall is packed with more than 200 popular international brands and favorite local clothing stores including giordano, moiselle, and peace and staccato.	1.0
Beautiful, quiet serene place located in the middle of the city. Small zoo with many exhibits. Great way to relax from shopping and sight seeing.	beautiful, quiet serene place located in the middle of the city. small zoo with many exhibits. great way to relax from shopping and sight seeing.	1.0
Stanley is very different to other parts of Hong Kong, or completely different from what you think about Hong Kong. Stanley, located at the southern of Hong Kong island, is much more relaxed with beaches, hills and coves. You will find the western atmosphere in this small Chinese town.	stanley is very different to other parts of hong kong, or completely different from what you think about hong kong. stanley, located at the southern of hong kong island, is much more relaxed with beaches, hills and coves. you will find the western atmosphere in this small chinese town.	1.0
This giant comic convention started life as the comic book section at the annual Hong Kong Book Fair. The section soon included animation and games under its umbrella and grew so big it spun off into its own event. Now hundreds of thousands of attendees flock to this con to participate in cosplay and gaming competitions, see new art as well as view and try upcoming releases in the field of animation, comic books and games. Even if you are just a casual fan of these genres, seeing the elaborate costumes attendees put together is a huge part of the fun.	this giant comic convention started life as the comic book section at the annual hong kong book fair. the section soon included animation and games under its umbrella and grew so big it spun off into its own event. now hundreds of thousands of attendees flock to this con to participate in cosplay and gaming competitions, see new art as well as view and try upcoming releases in the field of animation, comic books and games. even if you are just a casual fan of these genres, seeing the elaborate costumes attendees put together is a huge part of the fun.	1.0
From the stunning skyline to the spectacle of Lan Kwai Fong, Hong Kong is full of world-class sights for travellers to see. But if you’re looking for fun – to add a little ‘do’ to your ‘see’ – then look no further than Happy Wednesday at Happy Valley Racecourse, the city’s trendiest headquarters for mouth-watering food, thirst-quenching beverages and thrilling excitement both on and off the track. There’s nothing quite like a night at the races in Hong Kong! Week in and week out, Happy Wednesday fans are treated to a full sensory experience, pairing the pulse-pumping entertainment of jousting jockeys with a weekly theme that is integrated into everything from live bands and interactive games to on-course decorations and a delicious, reasonably priced trackside menu. Come in the fall and you’ll be treated to refreshing pints and a festive bratwurst for Oktoberfest – the largest outdoor beer festival in Hong Kong. Drop in during May, however, and it’s all ratatouille and brie, as Happy Wednesday hosts the hugely popular French Nights. It’s an extravaganza that’s fit for Asia’s world city, putting an international twist on a sport that has a rich heritage and cultural tradition for the city’s people. There’s simply nowhere else in the world where you can experience such a seamless blend of racing and lifestyle in one event. Whether you’re a local, an expat, or just visiting Hong Kong, there’s truly something for everyone at Happy Wednesday!	from the stunning skyline to the spectacle of lan kwai fong, hong kong is full of world-class sights for travellers to see. but if you’re looking for fun – to add a little ‘do’ to your ‘see’ – then look no further than happy wednesday at happy valley racecourse, the city’s trendiest headquarters for mouth-watering food, thirst-quenching beverages and thrilling excitement both on and off the track. there’s nothing quite like a night at the races in hong kong! week in and week out, happy wednesday fans are treated to a full sensory experience, pairing the pulse-pumping entertainment of jousting jockeys with a weekly theme that is integrated into everything from live bands and interactive games to on-course decorations and a delicious, reasonably priced trackside menu. come in the fall and you’ll be treated to refreshing pints and a festive bratwurst for oktoberfest – the largest outdoor beer festival in hong kong. drop in during may, however, and it’s all ratatouille and brie, as happy wednesday hosts the hugely popular french nights. it’s an extravaganza that’s fit for asia’s world city, putting an international twist on a sport that has a rich heritage and cultural tradition for the city’s people. there’s simply nowhere else in the world where you can experience such a seamless blend of racing and lifestyle in one event. whether you’re a local, an expat, or just visiting hong kong, there’s truly something for everyone at happy wednesday!	1.0
Throughout most of China, the western calendar's marking of the new year is much less heralded than their own Lunar New Year. But with its colonial ties to Britain, Hong Kong honors the transition from December 31 to January 1 with as much fanfare as any western city. Victoria Harbor is the place to be to watch the clock count down to midnight each year, and, as the Chinese know how to do fireworks right, expect a spectacular pyromusical fireworkshow before heading out to other New Year's Eve parties around the city.	throughout most of china, the western calendar's marking of the new year is much less heralded than their own lunar new year. but with its colonial ties to britain, hong kong honors the transition from december 31 to january 1 with as much fanfare as any western city. victoria harbor is the place to be to watch the clock count down to midnight each year, and, as the chinese know how to do fireworks right, expect a spectacular pyromusical fireworkshow before heading out to other new year's eve parties around the city.	1.0
Bamboo Scenes is a Hong Kong Photography Gallery offering unique wall art by Hong Kong based artists at affordable prices and with a purpose. Aiming to celebrate the artistic power in Hong Kong and to make their creative work accessible to a broader audience, all photographers are showcasing their Hong Kong in spectacular ways! All Photography artworks are exclusively sold on Bamboo Scenes in 3 limited size editions and are printed and framed in Hong Kong to support local craftsmanship. All pieces are printed on Fine Art Photography Paper and on Matte Aluminium Photography Panels. As Bamboo Scenes believes in giving back to its community, every exhibition is matched to a charity in Hong Kong that helps people in need. Offering Photography with a Purpose, 10% of art sale profits are donated. Shop our framed art prints wall art & home décor pieces at exclusive limited editions at our gallery or online at bambooscenes.com	bamboo scenes is a hong kong photography gallery offering unique wall art by hong kong based artists at affordable prices and with a purpose. aiming to celebrate the artistic power in hong kong and to make their creative work accessible to a broader audience, all photographers are showcasing their hong kong in spectacular ways! all photography artworks are exclusively sold on bamboo scenes in 3 limited size editions and are printed and framed in hong kong to support local craftsmanship. all pieces are printed on fine art photography paper and on matte aluminium photography panels. as bamboo scenes believes in giving back to its community, every exhibition is matched to a charity in hong kong that helps people in need. offering photography with a purpose, 10% of art sale profits are donated. shop our framed art prints wall art & home décor pieces at exclusive limited editions at our gallery or online at bambooscenes.com	1.0
The fun begins around 8:00 PM, when visitors flock to the numerous stalls lining this bustling, open-air market, stocking everything from clothes to mobile phones to watches.	the fun begins around 8:00 pm, when visitors flock to the numerous stalls lining this bustling, open-air market, stocking everything from clothes to mobile phones to watches.	1.0
New World First Ferry Services Limited (“First Ferry”) operates five main inner harbour and outlying island ferry routes in Hong Kong, including North Point-Hung Hom and North Point- Kowloon City, as well as Central-Cheung Chau, Central-Mui Wo and Inter Islands (between Peng Chau, Mui Wo, Chi Ma Wan and Cheung Chau), together with one special ferry route (plying between North Point and Joss House Bay, Sai Kung during Tin Hau Festival only). First Ferry’s five main routes record a daily traffic footfall up to 38,000 passengers (as of 30 June, 2013)	new world first ferry services limited (“first ferry”) operates five main inner harbour and outlying island ferry routes in hong kong, including north point-hung hom and north point- kowloon city, as well as central-cheung chau, central-mui wo and inter islands (between peng chau, mui wo, chi ma wan and cheung chau), together with one special ferry route (plying between north point and joss house bay, sai kung during tin hau festival only). first ferry’s five main routes record a daily traffic footfall up to 38,000 passengers (as of 30 june, 2013)	1.0
Rather large, five phase shopping mall in the New Territories, second largest to the New Town Plaza in Sha Tin.	rather large, five phase shopping mall in the new territories, second largest to the new town plaza in sha tin.	1.0
Located on Lantau Island, this monastery features the Big Buddha (Tiantau), which is the largest, seated, outdoor bronze Buddha in the world.	located on lantau island, this monastery features the big buddha (tiantau), which is the largest, seated, outdoor bronze buddha in the world.	1.0
The 380-hectare Mai Po Nature Reserve is managed by WWF-Hong Kong. As a haven for thousands of migratory waterbirds every year, Mai Po Nature Reserve and the surrounding Inner Deep Bay wetlands sets a prime example of conservation success for regional wetlands. The six main habitats in Mai Po Nature Reserve – gei wais, freshwater ponds, inter-tidal mudflats, mangroves, reedbeds and fishponds – are home to a host of wildlife. Joining one of our eco visits is the best and simplest way to experience the beauty of this truly unique and ecologically diverse wetland location.	the 380-hectare mai po nature reserve is managed by wwf-hong kong. as a haven for thousands of migratory waterbirds every year, mai po nature reserve and the surrounding inner deep bay wetlands sets a prime example of conservation success for regional wetlands. the six main habitats in mai po nature reserve – gei wais, freshwater ponds, inter-tidal mudflats, mangroves, reedbeds and fishponds – are home to a host of wildlife. joining one of our eco visits is the best and simplest way to experience the beauty of this truly unique and ecologically diverse wetland location.	1.0
The Visual Arts Centre, which aims to support local art creation and is a branch of the Hong Kong Museum of Art.	the visual arts centre, which aims to support local art creation and is a branch of the hong kong museum of art.	1.0
The Hong Kong Maritime Museum (HKMM), opened at Murray House in Stanley in 2005, is a vibrant, cultural institution dedicated to preserving, collecting and displaying objects that tell the story about trade and maritime in Hong Kong and the Pearl River Delta. Since 2013, the Museum has been relocated to the picturesque Victoria Harbour at Central Pier No. 8. An independent, non-profit registered charity, HKMM is supported by the shipping industry, the business community, private individuals and the Hong Kong SAR Government. HKMM houses 15 galleries including a venue space for special exhibitions and events, a resource centre, a roof-top social enterprise café, and a gift shop. HKMM promotes Hong Kong, China and Asia's maritime history and heritage as well as the vital role that ships and the sea play in our past, present and future. It also offers visitors a variety of public programmes including guided tours, workshops, public talks, and school, community and family activities.	the hong kong maritime museum (hkmm), opened at murray house in stanley in 2005, is a vibrant, cultural institution dedicated to preserving, collecting and displaying objects that tell the story about trade and maritime in hong kong and the pearl river delta. since 2013, the museum has been relocated to the picturesque victoria harbour at central pier no. 8. an independent, non-profit registered charity, hkmm is supported by the shipping industry, the business community, private individuals and the hong kong sar government. hkmm houses 15 galleries including a venue space for special exhibitions and events, a resource centre, a roof-top social enterprise café, and a gift shop. hkmm promotes hong kong, china and asia's maritime history and heritage as well as the vital role that ships and the sea play in our past, present and future. it also offers visitors a variety of public programmes including guided tours, workshops, public talks, and school, community and family activities.	1.0
Shopping Mall in the town of Tai Po that is quite popular with locals and visitors from mainland China that stay in this area of Hong Kong. A decent shopping mall for Hong Kong.	shopping mall in the town of tai po that is quite popular with locals and visitors from mainland china that stay in this area of hong kong. a decent shopping mall for hong kong.	1.0
Hong Kong's new non-profit, non-governmental museum for promoting Chinese art and culture. The Sun Museum, a non-profit making institution, aims to promote appreciation of Chinese art and culture. It strives to facilitate general understanding of how the art world in Hong Kong is enlivened by a diversity of cultures and how the local community is enlightened by a wealth of Chinese traditions. Exhibition hours: Tuesday to Saturday 10 am to 6 pm We are closed on Mondays, Sundays, and all public holidays. All visits are by appointment only.	hong kong's new non-profit, non-governmental museum for promoting chinese art and culture. the sun museum, a non-profit making institution, aims to promote appreciation of chinese art and culture. it strives to facilitate general understanding of how the art world in hong kong is enlivened by a diversity of cultures and how the local community is enlightened by a wealth of chinese traditions. exhibition hours: tuesday to saturday 10 am to 6 pm we are closed on mondays, sundays, and all public holidays. all visits are by appointment only.	1.0
Store Opening Hours: From April 1 to August 31, 2020, Beauty Floor By Invitation Only Mon - Sun: 9:00 AM - 9:00 PM Other Floors Mon - Sun: 12:00 PM - 9:00 PM With over 420 DFS and T Galleria stores worldwide, our boutiques present a carefully selected assortment of over 700 luxury brands, premier retail environments, highly personalized services and unique experiences tailored to the specific needs of travelers.	store opening hours: from april 1 to august 31, 2020, beauty floor by invitation only mon - sun: 9:00 am - 9:00 pm other floors mon - sun: 12:00 pm - 9:00 pm with over 420 dfs and t galleria stores worldwide, our boutiques present a carefully selected assortment of over 700 luxury brands, premier retail environments, highly personalized services and unique experiences tailored to the specific needs of travelers.	1.0
MacLehose Trail is a 100-kilometer trail winding through beautiful countryside of the New Territories. There are 10 sections of varying degrees of difficulty, with hike times ranging from 1.5 hours to five hours.	maclehose trail is a 100-kilometer trail winding through beautiful countryside of the new territories. there are 10 sections of varying degrees of difficulty, with hike times ranging from 1.5 hours to five hours.	1.0
HSBC Main Building is a headquarters building of The Hongkong and Shanghai Banking Corporation. The building can be reached from Exit K of Central MTR Station and facing Statue Square.	hsbc main building is a headquarters building of the hongkong and shanghai banking corporation. the building can be reached from exit k of central mtr station and facing statue square.	1.0
Luxury and modernity meet at this stylish mall connected to the Admiralty MTR subway station. Tenants mix luxury labels with haute homewares, organic toiletries, and jewelry stores.	luxury and modernity meet at this stylish mall connected to the admiralty mtr subway station. tenants mix luxury labels with haute homewares, organic toiletries, and jewelry stores.	1.0
The museum has been closed for around three years for a major renovation and expansion project, beginning 3 August 2015. By 2019, we will herald a brand new look to Tsim Sha Tsui.	the museum has been closed for around three years for a major renovation and expansion project, beginning 3 august 2015. by 2019, we will herald a brand new look to tsim sha tsui.	1.0
Contains markets aimed at the local demographic	contains markets aimed at the local demographic	1.0
A steep climb to reach, but efforts are rewarded with over 12,000 Buddhas both outside and inside the temple. There is no admission fee. A small restaurant at the top offers refreshments, but bring your own water for the trail.	a steep climb to reach, but efforts are rewarded with over 12,000 buddhas both outside and inside the temple. there is no admission fee. a small restaurant at the top offers refreshments, but bring your own water for the trail.	1.0
The main party street on the island, packed with bars.	the main party street on the island, packed with bars.	1.0
Experience unreal worlds with your friends. Sandbox VR is the futuristic experience that people have been dreaming about. It's a cutting-edge social experience straight out of science fiction. This is VR as it was meant to be. Full-body immersion transforms your physical body into a virtual body. Your team can actually see, touch, and interact each other inside our virtual worlds. There's a reason why people like Justin Timberlake, Katy Perry, Kevin Durant, Orlando Bloom, and Will Smith support us. We're building the future of entertainment, and you can try it with your friends today. To create the best VR experiences on the planet, we combine the latest VR technology, Hollywood motion capture rigs, and AAA-quality content experiences built by veterans from EA, Sony, and Ubisoft. With accuracy down to a finger wiggle, it's so real, you might forget it's not. In here, it's possible.	experience unreal worlds with your friends. sandbox vr is the futuristic experience that people have been dreaming about. it's a cutting-edge social experience straight out of science fiction. this is vr as it was meant to be. full-body immersion transforms your physical body into a virtual body. your team can actually see, touch, and interact each other inside our virtual worlds. there's a reason why people like justin timberlake, katy perry, kevin durant, orlando bloom, and will smith support us. we're building the future of entertainment, and you can try it with your friends today. to create the best vr experiences on the planet, we combine the latest vr technology, hollywood motion capture rigs, and aaa-quality content experiences built by veterans from ea, sony, and ubisoft. with accuracy down to a finger wiggle, it's so real, you might forget it's not. in here, it's possible.	1.0
The Man Mo Temple Compound on Hollywood Road, Sheung Wan comprising three blocks, namely Man Mo Temple, Lit Shing Kung and Kung Sor, was built approximately between 1847 and 1862 by wealthy Chinese merchants. Man Mo Temple was built mainly for the worship of Man Cheong (God of Literature) and Mo Tai (God of Martial Arts). Lit Shing Kung was built for the worship of all heavenly gods. Kung Sor was used as a meeting place and for resolving matters related to the Chinese community in the area. The three blocks are separated by two alleys. The Temple was officially entrusted to Tung Wah Hospital with the enactment of the Man Mo Temple Ordinance in 1908. Even nowadays, the Directors of the Tung Wah Group of Hospitals and community celebrities still congregate in the Temple every year at the Autumn Sacrificial Rites to pay homage to Man Cheong and Mo Tai as well as to invoke prosperity of Hong Kong. The Temple has imperative historical and social values to the territory, representing the traditional social organization and religious practices of the Chinese community in old Hong Kong. Man Mo Temple is a two-hall-three-bay structure fronted by two granite drum platforms. A pair of screen doors is placed in the front hall. Following the traditional Chinese architectural layout, the rear hall housing the altars of the deities is a few steps higher than the front hall. Between the two halls is a covered courtyard flanked by two side chambers with humpbacked roofs. The courtyard is covered with a double-eaved hip-and-gable roof supported by four granite columns at the corners of the courtyard. Lit Shing Kung, which is attached to the left of Man Mo Temple, was originally a three-hall-two-courtyard structure. The two courtyards were later covered by steel roofs. Kung Sor is a simple one-hall structure. The historic granite doorframe on which the year of construction of Kung Sor can be found is still well preserved. The magnificent Man Mo Temple Compound is a fine example of traditional Chinese vernacular architecture. It is exquisitely decorated with ceramic figurines, granite carvings, wood carvings, plaster mouldings and murals, reflecting superb traditional craftsmanship.	the man mo temple compound on hollywood road, sheung wan comprising three blocks, namely man mo temple, lit shing kung and kung sor, was built approximately between 1847 and 1862 by wealthy chinese merchants. man mo temple was built mainly for the worship of man cheong (god of literature) and mo tai (god of martial arts). lit shing kung was built for the worship of all heavenly gods. kung sor was used as a meeting place and for resolving matters related to the chinese community in the area. the three blocks are separated by two alleys. the temple was officially entrusted to tung wah hospital with the enactment of the man mo temple ordinance in 1908. even nowadays, the directors of the tung wah group of hospitals and community celebrities still congregate in the temple every year at the autumn sacrificial rites to pay homage to man cheong and mo tai as well as to invoke prosperity of hong kong. the temple has imperative historical and social values to the territory, representing the traditional social organization and religious practices of the chinese community in old hong kong. man mo temple is a two-hall-three-bay structure fronted by two granite drum platforms. a pair of screen doors is placed in the front hall. following the traditional chinese architectural layout, the rear hall housing the altars of the deities is a few steps higher than the front hall. between the two halls is a covered courtyard flanked by two side chambers with humpbacked roofs. the courtyard is covered with a double-eaved hip-and-gable roof supported by four granite columns at the corners of the courtyard. lit shing kung, which is attached to the left of man mo temple, was originally a three-hall-two-courtyard structure. the two courtyards were later covered by steel roofs. kung sor is a simple one-hall structure. the historic granite doorframe on which the year of construction of kung sor can be found is still well preserved. the magnificent man mo temple compound is a fine example of traditional chinese vernacular architecture. it is exquisitely decorated with ceramic figurines, granite carvings, wood carvings, plaster mouldings and murals, reflecting superb traditional craftsmanship.	1.0
Opened in October 2013 at the Peak Galleria to celebrate Hong Kong Tramways' 110th anniversary. With aspirations to ultimately create a transport museum in the future, our galleries feature exhibitions on Hong Kong's trams and their counterparts from around the world, emphasizing their preservation, transformation, and sustainable development. We are the first tram-themed exhibition gallery in the city, exploring the network's changes and the vehicles' features and components throughout their history.	opened in october 2013 at the peak galleria to celebrate hong kong tramways' 110th anniversary. with aspirations to ultimately create a transport museum in the future, our galleries feature exhibitions on hong kong's trams and their counterparts from around the world, emphasizing their preservation, transformation, and sustainable development. we are the first tram-themed exhibition gallery in the city, exploring the network's changes and the vehicles' features and components throughout their history.	1.0
Lying at the heart of Tsuen Wan district where the Tsuen Wan West MTR station is just steps away. Tsuen Wan Plaza enjoys excellent transportation connections. As the largest all-in-one shopping mall in the district, Tsuen Wan Plaza always offers unparalleled leisure, dining and shopping experiences to customers. The mall features a fantastically diverse mix of specialty shops and superb entertainment facilities, including a four-house deluxe cinema with RealD 3D technology and a unique 23,000 sq. ft. outdoor children's playground which serves as an ideal gathering place for young families.	lying at the heart of tsuen wan district where the tsuen wan west mtr station is just steps away. tsuen wan plaza enjoys excellent transportation connections. as the largest all-in-one shopping mall in the district, tsuen wan plaza always offers unparalleled leisure, dining and shopping experiences to customers. the mall features a fantastically diverse mix of specialty shops and superb entertainment facilities, including a four-house deluxe cinema with reald 3d technology and a unique 23,000 sq. ft. outdoor children's playground which serves as an ideal gathering place for young families.	1.0
